epoch,loss,reconstruction_loss,l1_loss
1,0.00544185519296055,0.005441549220122397,0.0030584596069529652
2,0.00017735622980399058,0.00017719650243331367,0.0015972738449151317
3,9.844529783974092e-05,9.829099877970293e-05,0.0015429925676435233
4,8.250142024674763e-05,8.234751785251623e-05,0.0015390239777043461
5,7.286925035684059e-05,7.271373510593548e-05,0.0015551480669528247
6,6.593155267182737e-05,6.577414493464554e-05,0.0015740758664906024
7,6.033713669360926e-05,6.0177987014564376e-05,0.0015915002192681035
8,5.60143872765669e-05,5.5853859249812864e-05,0.0016052820049226285
9,5.2600698982132596e-05,5.243891483405605e-05,0.0016178400147085388
10,4.9752898446361844e-05,4.958994184077407e-05,0.0016295643060778577
11,4.721023708892365e-05,4.704642044574333e-05,0.0016381662751858432
12,4.482373097562231e-05,4.465887832338922e-05,0.00164852361412098
13,4.2788610803351424e-05,4.2622942050608494e-05,0.0016566880301882823
14,4.0858415333786976e-05,4.0692045508573455e-05,0.001663699573216339
15,3.9195109100546685e-05,3.902814775938168e-05,0.0016696112227315705
16,3.76216918133044e-05,3.745419626163008e-05,0.0016749581905702749
17,3.630816265164564e-05,3.613995782022054e-05,0.0016820462762067716
18,3.508246256387793e-05,3.4913780904995896e-05,0.0016868154195447762
19,3.407336027400258e-05,3.390421915294913e-05,0.0016914134991044799
20,3.315255266594856e-05,3.2983235054416583e-05,0.0016931741731241346
21,3.2375706320938966e-05,3.220591097488068e-05,0.0016979553091029326
22,3.171582419114808e-05,3.1545765600943316e-05,0.0017005859091877937
23,3.1158159419040505e-05,3.098816709825769e-05,0.001699923988742133
24,3.05747653862151e-05,3.040470568521414e-05,0.001700598120689392
25,3.0060632358072325e-05,2.9890586170949975e-05,0.001700460013312598
26,2.9590838637280588e-05,2.942083068774082e-05,0.0017000787950431308
27,2.909232512077627e-05,2.892253205451804e-05,0.001697931286878884
28,2.8651603492714153e-05,2.8481686546001582e-05,0.0016991683105006814
29,2.8238212689757346e-05,2.8068456983116146e-05,0.0016975554547583064
30,2.7827868204137e-05,2.7658179659435215e-05,0.0016968843496094148
31,2.741703166005512e-05,2.7247645649670933e-05,0.0016938614876319965
32,2.7057918268837968e-05,2.6888531652123978e-05,0.0016938670044764877
33,2.6699068500117087e-05,2.6529787758287665e-05,0.0016928071994334458
34,2.6373472797179906e-05,2.620462554235322e-05,0.0016884716063116987
35,2.5957034241097668e-05,2.578824331188419e-05,0.0016879097831745942
36,2.5649346231754558e-05,2.5480702955974266e-05,0.0016864327912529309
37,2.5334672260214576e-05,2.5166234923138593e-05,0.0016843733868251245
38,2.505368746642489e-05,2.4885400130491084e-05,0.0016828732437764605
39,2.473339485974672e-05,2.456551877548918e-05,0.0016787595118706426
40,2.4433738877026675e-05,2.4265924347370553e-05,0.0016781435968975225
